Base Name,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
UBER,2015,1,January,1871075,0,12544
UBER,2015,2,February,2178305,0,13531
UBER,2015,3,March,2259575,0,14290
UBER,2015,4,April,2280332,0,14952
LYFT,2015,4,April,80613,0,2519
VIA,2015,4,April,113866,0,472
UBER,2015,5,May,1854691,0,12472
LYFT,2015,5,May,100862,0,2701
VIA,2015,5,May,121127,0,576
UBER,2015,6,June,2816572,0,18751
LYFT,2015,6,June,111111,0,2963
VIA,2015,6,June,155658,0,665
UBER,2015,7,July,3107558,0,21616
LYFT,2015,7,July,194815,0,3895
VIA,2015,7,July,175349,0,813
UBER,2015,8,August,3316381,0,23350
LYFT,2015,8,August,318717,0,5016
VIA,2015,8,August,201490,0,833
UBER,2015,9,September,3709270,0,25035
LYFT,2015,9,September,399622,0,5592
VIA,2015,9,September,218364,0,810
UBER,2015,10,October,4359759,0,26875
LYFT,2015,10,October,434476,0,6657
VIA,2015,10,October,261311,0,897
UBER,2015,11,November,4178591,0,27666
LYFT,2015,11,November,450483,0,7023
VIA,2015,11,November,255655,0,923
UBER,2015,12,December,4343828,0,28716
LYFT,2015,12,December,524782,0,6830
VIA,2015,12,December,264889,0,943
UBER,2016,1,January,4301254,0,29665
LYFT,2016,1,January,564149,0,9858
VIA,2016,1,January,305570,0,1099
UBER,2016,2,February,4827339,0,29538
LYFT,2016,2,February,667766,0,9734
VIA,2016,2,February,361156,0,1182
UBER,2016,3,March,4949743,0,29835
LYFT,2016,3,March,691455,0,9266
JUNO,2016,3,March,201,0,186
VIA,2016,3,March,429572,0,1318
UBER,2016,4,April,5103751,0,30702
LYFT,2016,4,April,810447,0,10865
JUNO,2016,4,April,5338,0,3780
VIA,2016,4,April,446919,0,1394
UBER,2016,5,May,5391879,0,32505
LYFT,2016,5,May,994444,0,12955
JUNO,2016,5,May,38974,0,5826
VIA,2016,5,May,464775,0,1349
UBER,2016,6,June,5358138,0,34327
LYFT,2016,6,June,1073973,0,15095
JUNO,2016,6,June,210276,0,8044
VIA,2016,6,June,503517,0,1441
UBER,2016,7,July,5899045,0,35765
LYFT,2016,7,July,951376,0,14442
JUNO,2016,7,July,394237,0,8564
VIA,2016,7,July,516639,0,1492
UBER,2016,8,August,5893649,0,40336
LYFT,2016,8,August,1095428,0,15033
JUNO,2016,8,August,470903,0,10537
VIA,2016,8,August,558442,0,1735
UBER,2016,9,September,6481751,0,43131
